ID,"mention_name","mention_screen_name"
905946363975811072,"plotly","plotlygraphs"
905929089944621056,"Michael Hunger","mesirii"
905929089944621056,"Neo4j","neo4j"
905929089944621056,"William Lyon","lyonwj"
905928678151991297,"Glidewell Dental","GlidewellDental"
905928678151991297,"GraphConnect","GraphConnect"
905923057012879360,"Jenksy","dijikul"
905923057012879360,"Neo4j","neo4j"
905923057012879360,"William Lyon","lyonwj"
905922294148726785,"Ted van Gaalen","tedvga"
905922294148726785,"Neo4j","neo4j"
905922294148726785,"Nicole White","_nicolemargaret"
905918013869785089,"Pete Moore 🐝","thedatabloke"
905918013869785089,"Mark Needham","markhneedham"
905918013869785089,"Neo4j","neo4j"
905917915572183040,"Neo4j","neo4j"
905913576841519105,"Sylvain ROUSSY","SylvainRoussy"
905891071493857280,"IBMPowerSystems","IBMPowerSystems"
905885810767093760,"YouTube","YouTube"
905883581997883401,"Michael Hunger","mesirii"
905879327140663297,"Aurélien Thieriot","a_thieriot"
905879327140663297,"Neo4j","neo4j"
905879193531101185,"Florent Biville","fbiville"
905879193531101185,"Neo4j","neo4j"
905879004196065280,"Aurélien Thieriot","a_thieriot"
905879004196065280,"Neo4j","neo4j"
905878341894500353,"Florent Biville","fbiville"
905878341894500353,"Neo4j","neo4j"
905877250888925184,"Neo4j","neo4j"
905877250888925184,"Nicole White","_nicolemargaret"
905874816753913856,"Florent Biville","fbiville"
905874816753913856,"Neo4j","neo4j"
905873224558370817,"Ryan Bolduan","rbolduan"
905873224558370817,"Meetup Support","meetup_support"
905873224558370817,"Neo4j","neo4j"
905873224558370817,"Meetup","Meetup"
905870804570787840,"Neo4j","neo4j"
905870804570787840,"Marco Bonzanini","marcobonzanini"
905858020407685120,"Lorenzo Pasqualis","lpasqualis"
905857055860412416,"William Lyon","lyonwj"
905857055860412416,"Neo4j","neo4j"
905856771213762562,"Florent Biville","fbiville"
905856771213762562,"Neo4j","neo4j"
905855278469582848,"lucas卞dicioccio","lucasdicioccio"
905855278469582848,"Neo4j","neo4j"
905854795537420289,"Florent Biville","fbiville"
905854795537420289,"Neo4j","neo4j"
905852711597375488,"(~hamid)","hamidr_"
905852711597375488,"Pascal","lechindianer"
905850499215347715,"Neo4j","neo4j"
905847410638942209,"Pentaho","Pentaho"
905845458274328577,"YouTube","YouTube"
905838416557993986,"Opportunity Intl","OpportunityIntl"
905836107111084032,"Neo4j","neo4j"
905824211591147522,"Michael Hunger","mesirii"
905824211591147522,"Neo4j","neo4j"
905823425507323904,"Nicole White","_nicolemargaret"
905823162268602368,"Neo4j","neo4j"
905819795001667584,"Pierre DeBois","ZimanaAnalytics"
905819795001667584,"Supermetrics","Supermetrics"
905819795001667584,"Microsoft Excel","msexcel"
905819795001667584,"Neo4j","neo4j"
905819795001667584,"Tableau Software","tableau"
905819795001667584,"DataHero","DataHero"
905815568787361792,"Hitachi Data Systems","HDScorp"
905815568787361792,"Steve Lewis","SteveGL"
905810115248435200,"Pentaho","Pentaho"
905808662295445504,"Neo4j","neo4j"
905808662295445504,"Federal Times","FederalTimes"
905808452219539458,"Nicole White","_nicolemargaret"
